,arrondissement,date,type,N,farleft,left,green,center,right,other,ville,winner,last_winner,year_weights,unemployment,samplesize_agg,farleft_agg,left_agg,green_agg,center_agg,right_agg,farright_agg
0,4,2007-04-22,president,14521,448,4864,390,3355,4758,706,Paris,left,left,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
1,4,2007-06-10,legislative,10683,491,0,3962,1439,4238,553,Paris,right,left,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
2,4,2008-03-09,municipale,10655,163,4914,1362,941,2995,280,Paris,left,right,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
3,4,2009-06-07,european,10115,657,1567,3373,834,2749,935,Paris,green,left,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
4,4,2010-03-14,regional,10252,798,2793,2633,411,2699,918,Paris,left,green,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
5,4,2012-04-22,president,21889,2116,7982,1120,2169,7004,1498,Paris,left,left,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
6,4,2012-06-10,legislative,16517,1172,6587,1528,667,5099,1464,Paris,left,left,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
7,4,2014-03-23,municipale,18871,651,6805,2790,0,6534,2091,Paris,left,left,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
8,4,2014-05-25,european,17389,809,3824,2687,2326,3662,4081,Paris,left,left,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
9,4,2015-12-06,regional,18500,1052,6622,2223,0,5714,2889,Paris,left,left,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
10,4,2017-04-23,president,39927,6251,3771,0,17095,9940,2870,Paris,center,left,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
11,4,2017-06-11,legislative,27703,2186,2810,2248,13396,3983,3080,Paris,center,center,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
12,4,2019-05-25,european,38124,1987,3133,7637,13644,2883,8840,Paris,center,center,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
13,5,2007-04-22,president,8694,272,2749,207,2124,2890,452,Paris,right,left,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
14,5,2007-06-10,legislative,6872,379,2022,353,1022,2897,199,Paris,right,right,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
15,5,2008-03-09,municipale,7105,207,2463,387,1019,2695,334,Paris,right,right,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
16,5,2009-06-07,european,6717,499,998,2044,605,1897,674,Paris,green,right,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
17,5,2010-03-14,regional,6852,568,1781,1512,305,2021,665,Paris,right,green,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
18,5,2012-04-22,president,13129,1348,4651,630,1402,4115,983,Paris,left,right,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
19,5,2012-06-10,legislative,10706,552,4484,577,291,4071,731,Paris,left,left,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
20,5,2014-03-23,municipale,12201,535,4141,1089,0,3476,2960,Paris,left,left,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
21,5,2014-05-25,european,11244,596,2348,1563,1577,2381,2779,Paris,right,left,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
22,5,2015-12-06,regional,11896,783,3935,1307,0,4004,1867,Paris,right,right,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
23,5,2017-04-23,president,22966,3674,2298,0,9122,6127,1745,Paris,center,right,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
24,5,2017-06-11,legislative,16852,1442,1466,1157,6946,2609,3232,Paris,center,center,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
25,5,2019-05-25,european,21163,871,1766,4487,7678,2087,4274,Paris,center,center,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
26,6,2007-04-22,president,6406,124,1565,113,1496,2796,312,Paris,right,right,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
27,6,2007-06-10,legislative,4786,134,1154,198,792,2281,227,Paris,right,right,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
28,6,2008-03-09,municipale,4660,0,1554,178,460,2187,281,Paris,right,right,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
