,pollster,date,samplesize,farleft,left,green,center,right,farright
0,Ifop,2020-01-17,955,5.0,25.0,14.0,15.0,19.0,5.0
1,Ifop,2020-01-17,955,5.0,25.0,14.0,16.0,17.0,5.0
2,Odoxa,2020-01-20,879,8.0,24.0,13.0,16.0,18.0,5.0
3,Odoxa,2020-01-23,916,4.0,23.0,14.5,16.0,20.0,6.0
4,Ipsos,2020-02-19,1000,5.0,24.0,13.0,19.0,20.0,4.0
5,Harris,2020-02-19,1092,6.0,23.0,13.0,17.0,23.0,5.0
6,Odoxa,2020-02-19,809,7.0,23.0,14.0,17.0,25.0,4.0
7,Ifop,2020-02-21,976,6.0,24.0,12.0,19.0,22.0,3.5
8,Ifop,2020-02-28,946,5.0,24.0,11.0,20.0,25.0,3.5
9,Elabe,2020-02-28,1001,5.0,24.0,9.5,18.5,25.0,4.0
10,Harris,2020-03-02,1119,5.0,24.0,11.0,17.0,25.0,4.0
11,Ipsos,2020-03-06,1000,4.0,25.0,12.0,19.0,24.0,4.0
12,BVA,2020-03-06,1202,4.0,24.0,12.0,19.0,25.0,4.0
13,Ipsos,2020-03-09,950,4.5,26.0,11.0,19.0,23.0,4.0
14,Ifop,2020-03-10,1101,5.0,26.0,11.0,18.0,24.0,3.5
15,Ifop,2020-03-13,1424,5.0,25.5,11.5,19.0,24.0,3.5
