"Libellé";"Prix moyens mensuels de vente au détail en métropole - Gazole (1 litre)";"Codes"
"idBank";"000442588";""
"Période";"";""
"2018-10";"1.52";"A"
"2018-09";"1.48";"A"
"2018-08";"1.45";"A"
"2018-07";"1.45";"A"
"2018-06";"1.46";"A"
"2018-05";"1.45";"A"
"2018-04";"1.4";"A"
"2018-03";"1.37";"A"
"2018-02";"1.38";"A"
"2018-01";"1.39";"A"
"2017-12";"1.28";"A"
"2017-11";"1.27";"A"
"2017-10";"1.24";"A"
"2017-09";"1.22";"A"
"2017-08";"1.2";"A"
"2017-07";"1.17";"A"
"2017-06";"1.18";"A"
"2017-05";"1.21";"A"
"2017-04";"1.24";"A"
"2017-03";"1.25";"A"
"2017-02";"1.27";"A"
"2017-01";"1.27";"A"
"2016-12";"1.18";"A"
"2016-11";"1.16";"A"
"2016-10";"1.15";"A"
"2016-09";"1.12";"A"
"2016-08";"1.11";"A"
"2016-07";"1.14";"A"
"2016-06";"1.17";"A"
"2016-05";"1.12";"A"
"2016-04";"1.07";"A"
"2016-03";"1.06";"A"
"2016-02";"1.03";"A"
"2016-01";"1.03";"A"
"2015-12";"1.08";"A"
"2015-11";"1.11";"A"
"2015-10";"1.12";"A"
"2015-09";"1.12";"A"
"2015-08";"1.14";"A"
"2015-07";"1.2";"A"
"2015-06";"1.23";"A"
"2015-05";"1.24";"A"
"2015-04";"1.22";"A"
"2015-03";"1.22";"A"
"2015-02";"1.19";"A"
"2015-01";"1.13";"A"
"2014-12";"1.19";"A"
"2014-11";"1.25";"A"
"2014-10";"1.28";"A"
"2014-09";"1.3";"A"
"2014-08";"1.31";"A"
"2014-07";"1.32";"A"
"2014-06";"1.32";"A"
"2014-05";"1.32";"A"
"2014-04";"1.32";"A"
"2014-03";"1.33";"A"
"2014-02";"1.34";"A"
"2014-01";"1.34";"A"
"2013-12";"1.34";"A"
"2013-11";"1.33";"A"
"2013-10";"1.34";"A"
"2013-09";"1.38";"A"
"2013-08";"1.36";"A"
"2013-07";"1.35";"A"
"2013-06";"1.34";"A"
"2013-05";"1.34";"A"
"2013-04";"1.38";"A"
"2013-03";"1.41";"A"
"2013-02";"1.41";"A"
"2013-01";"1.39";"A"
"2012-12";"1.38";"A"
"2012-11";"1.38";"A"
"2012-10";"1.4";"A"
"2012-09";"1.42";"A"
"2012-08";"1.44";"A"
"2012-07";"1.36";"A"
"2012-06";"1.37";"A"
"2012-05";"1.42";"A"
"2012-04";"1.45";"A"
"2012-03";"1.46";"A"
"2012-02";"1.43";"A"
"2012-01";"1.42";"A"
"2011-12";"1.38";"A"
"2011-11";"1.39";"A"
"2011-10";"1.35";"A"
"2011-09";"1.34";"A"
"2011-08";"1.33";"A"
"2011-07";"1.33";"A"
"2011-06";"1.33";"A"
"2011-05";"1.34";"A"
"2011-04";"1.38";"A"
"2011-03";"1.37";"A"
"2011-02";"1.31";"A"
"2011-01";"1.29";"A"
"2010-12";"1.22";"A"
"2010-11";"1.19";"A"
"2010-10";"1.17";"A"
"2010-09";"1.16";"A"
"2010-08";"1.15";"A"
"2010-07";"1.16";"A"
"2010-06";"1.17";"A"
"2010-05";"1.18";"A"
"2010-04";"1.16";"A"
"2010-03";"1.13";"A"
"2010-02";"1.09";"A"
"2010-01";"1.09";"A"
"2009-12";"1.05";"A"
"2009-11";"1.05";"A"
"2009-10";"1.02";"A"
"2009-09";"1.02";"A"
"2009-08";"1.04";"A"
"2009-07";"1.01";"A"
"2009-06";"1.02";"A"
"2009-05";"0.98";"A"
"2009-04";"0.98";"A"
"2009-03";"0.95";"A"
"2009-02";"0.99";"A"
"2009-01";"0.99";"A"
"2008-12";"1.05";"A"
"2008-11";"1.15";"A"
"2008-10";"1.26";"A"
"2008-09";"1.33";"A"
