month,quarter,president,samplesize,p_approve,p_disapprove,party,election_flag,N_approve,N_disapprove,N_total,unemployment
2002-05-31,2002Q2,chirac2,964.25,0.5025,0.4425,right,1,485,427,912,7.5
2002-06-30,2002Q2,chirac2,970.0,0.505,0.425,right,0,490,412,902,7.5
2002-07-31,2002Q3,chirac2,947.3333333333334,0.5333333333333333,0.4066666666666667,right,0,505,385,890,7.5
2002-08-31,2002Q3,chirac2,1028.0,0.52,0.4166666666666667,right,0,535,428,963,7.5
2002-09-30,2002Q3,chirac2,1017.5,0.525,0.42,right,0,534,427,961,7.5
2002-10-31,2002Q4,chirac2,984.75,0.5325,0.4075,right,0,524,401,925,7.6
2002-11-30,2002Q4,chirac2,978.5,0.5525,0.39,right,0,541,382,923,7.6
2002-12-31,2002Q4,chirac2,1049.0,0.575,0.37250000000000005,right,0,603,391,994,7.6
2003-01-31,2003Q1,chirac2,970.0,0.565,0.38,right,0,548,369,917,8.0
2003-02-28,2003Q1,chirac2,949.5,0.5875,0.35250000000000004,right,0,558,335,893,8.0
2003-03-31,2003Q1,chirac2,993.0,0.6625,0.28500000000000003,right,0,658,283,941,8.0
2003-04-30,2003Q2,chirac2,1057.75,0.635,0.31,right,0,672,328,1000,8.1
2003-05-31,2003Q2,chirac2,947.0,0.5975,0.3525,right,0,566,334,900,8.1
2003-06-30,2003Q2,chirac2,1005.25,0.56,0.38,right,0,563,382,945,8.1
2003-07-31,2003Q3,chirac2,1014.0,0.5499999999999999,0.3975,right,0,558,403,961,8.0
2003-08-31,2003Q3,chirac2,1064.0,0.51,0.4466666666666666,right,0,543,475,1018,8.0
2003-09-30,2003Q3,chirac2,1053.0,0.5,0.45000000000000007,right,0,526,474,1000,8.0
2003-10-31,2003Q4,chirac2,1010.0,0.475,0.47,right,0,480,475,955,8.4
2003-11-30,2003Q4,chirac2,1030.25,0.47750000000000004,0.475,right,0,492,489,981,8.4
2003-12-31,2003Q4,chirac2,959.25,0.495,0.455,right,0,475,436,911,8.4
2004-01-31,2004Q1,chirac2,959.0,0.5075,0.4525,right,0,487,434,921,8.6
2004-02-29,2004Q1,chirac2,1002.3333333333334,0.44333333333333336,0.5266666666666667,right,0,444,528,972,8.6
2004-03-31,2004Q1,chirac2,1028.0,0.45,0.4975,right,0,463,511,974,8.6
2004-04-30,2004Q2,chirac2,1011.25,0.41,0.5475,right,0,415,554,969,8.4
2004-05-31,2004Q2,chirac2,958.6666666666666,0.4266666666666666,0.5366666666666666,right,0,409,514,923,8.4
2004-06-30,2004Q2,chirac2,956.0,0.44,0.5125,right,0,421,490,911,8.4
2004-07-31,2004Q3,chirac2,975.6666666666666,0.45,0.5166666666666666,right,0,439,504,943,8.5
2004-08-31,2004Q3,chirac2,1019.0,0.4466666666666666,0.52,right,0,455,530,985,8.5
